// name	emotion
ANT_EGG	19
PECOPECO_EGG	19
CONDOR		9	
ALICE		5
MEGALITH	9
GOLEM	9
STALACTIC_GOLEM	9
FUR_SEAL	1
OWL_DUKE	9
OWL_BARON	9
SEE_OTTER	22
SPRING_RABBIT	6
CHEPET	17
WILD_ROSE	6
ASSULTER	23
HIGH_ORC	6
ORK_WARRIOR	6
DESERT_WOLF	6
ORC_ARCHER	6
TIRFING	29
CARAT	29
VAGABOND_WOLF	27
ZHERLTHSH	30
CRUISER	27
HEATER	6
BATHORY	30
DROPS	2
PORING	2
POPORING	2
MARIN	2
YOYO	2
CHOCO	2
VERIT	2
SAVAGE	16
SAVAGE_BABE	16
CARAMEL	16
STEAM_GOBLIN	23
ANGELING	22
GHOSTRING	28
METALLER	2
ROCKER	2
COOKIE	2
COOKIE_XMAS	2
DOKEBI	2
AM_MUT	2
REQUIEM	19
ZEROM	19
FREEZER	20
MOBSTER	32
PERMETER	2
SOLIDER	9
AMBERNITE	19
BAPHOMET_	0
