//monster_id, name, item_id, egg_id, accesory_id, food_id, fullness, hungry_delay, r_hungry, r_full, friendly, die, capture, speed
1002,PORING,619,9001,10013,531,80,20,50,100,250,20,2000,400
1002,PORING,619,9001,10013,531,80,20,50,100,250,20,2000,400
1011,CHONCHON,624,9006,10002,537,80,10,30,100,250,20,1500,200
1014,SPORE,630,9012,10017,537,80,20,30,100,250,20,1500,200
1019,PECOPECO,632,9014,10010,537,80,15,30,100,250,20,1000,200
1023,ORC_WARRIOR,635,9017,10009,537,80,12,20,100,250,20,500,200
1026,MUNAK,636,9018,10008,537,80,20,20,100,250,20,500,200
1029,ISIS,639,9021,10006,537,80,20,10,100,250,20,500,200
1031,POPORING,621,9003,10013,511,80,12,30,100,250,20,1000,300
1035,HUNTER_FLY,626,9008,10002,716,80,12,10,100,250,20,500,150
1042,STEEL_CHONCHON,625,9007,10002,1002,80,12,20,100,250,20,1000,150
1049,PICKY,623,9005,10012,507,80,15,40,100,250,20,2000,200
1052,ROCKER,629,9011,10014,537,80,60,30,100,250,20,1500,200
1056,SMOKIE,633,9015,10019,537,80,15,30,100,250,20,1000,200
1057,YOYO,634,9016,10018,532,80,12,20,100,250,20,1000,200
1063,LUNATIC,622,9004,10007,534,80,15,40,100,250,20,1500,200
1077,POISON_SPORE,631,9013,10017,537,80,20,20,100,250,20,1000,200
1101,BAPHOMET_Jr,642,9024,10001,518,80,30,10,100,250,20,200,100
1107,DESERT_WOLF_B,628,9010,10003,537,80,10,40,100,250,20,1000,300
1109,DEVIRUCHI,641,9023,10004,711,80,30,10,100,250,20,500,150
1110,DOKEBI,637,9019,10005,537,80,15,20,100,250,20,500,250
1113,DROPS,620,9002,10013,508,80,15,40,100,250,20,1500,400
1155,PETIT,640,9022,10011,537,80,15,20,100,250,20,500,200
1167,SAVAGE_BABE,627,9009,10015,537,80,9,40,100,250,20,1500,400
1170,SHOEE,638,9020,10016,537,80,20,10,100,250,20,500,300
1188,BON_GUN,659,9025,10020,537,80,20,10,100,250,20,500,200
1200,ZHERLTHSH,660,9026,0,537,80,20,10,100,250,20,50,200
1275,ALICE,661,9027,0,537,80,20,10,100,250,20,100,200
